id,name,category,price,unit,point,description,source,needsConfirmation,photoHint
dybenko-kinder-joy-harry-potter-i-funko-pop,Kinder Joy Harry Potter и Funko Pop,Шоколадки и сладости,829,20 г,dybenko,Kinder Joy с коллекционной фигуркой Funko по мотивам Harry Potter.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-kinder-joy-harry-potter-i-funko-pop.jpg
dybenko-kinder-joy-minecraft,Kinder Joy Minecraft,Шоколадки и сладости,890,30 г,dybenko,Коллекционная серия Kinder Joy для фанатов Minecraft.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-kinder-joy-minecraft.jpg
dybenko-kinder-joy-stranger-things-nabor-iz-treh-yaic,"Kinder Joy Stranger Things, набор из трёх яиц",Шоколадки и сладости,2999,60 г,dybenko,Три яйца Kinder Joy с сюрпризом Funko по мотивам Stranger Things.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-kinder-joy-stranger-things-nabor-iz-treh-yaic.jpg
dybenko-kinder-schoko-bons-crispy,Kinder Schoko-Bons Crispy,Шоколадки и сладости,985,67 г,dybenko,Хрустящие вафельные конфеты с молочным шоколадом.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-kinder-schoko-bons-crispy.jpg
dybenko-kinder-schoko-bons,Kinder Schoko-Bons,Шоколадки и сладости,1099,125 г,dybenko,Конфеты из молочного шоколада с молочной начинкой и фундуком.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-kinder-schoko-bons.jpg
dybenko-kitkat-balls-white,KitKat Balls White,Шоколадки и сладости,1319,130 г,dybenko,"Шарики KitKat в белом шоколаде, Германия.","Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-kitkat-balls-white.jpg
dybenko-m-m-s-caramel-cold-brew,M&M’s Caramel Cold Brew,Шоколадки и сладости,599,40 г,dybenko,Лимитированное драже со вкусом coffee-caramel cold brew.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-m-m-s-caramel-cold-brew.jpg
dybenko-m-m-s-s-arahisovoy-pastoy,M&M’s с арахисовой пастой,Шоколадки и сладости,599,46 г,dybenko,Шоколадные драже с кремовой арахисовой начинкой.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-m-m-s-s-arahisovoy-pastoy.jpg
dybenko-maltesers-shokoladnye-shariki,Maltesers шоколадные шарики,Шоколадки и сладости,289,37 г,dybenko,Шарики с хрустящей солодовой начинкой и молочным шоколадом.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-maltesers-shokoladnye-shariki.jpg
dybenko-mrbeast-molochnyy-feastables-original,MrBeast молочный Feastables Original,Шоколадки и сладости,977,60 г,dybenko,Молочный шоколад MrBeast Feastables Original.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-mrbeast-molochnyy-feastables-original.jpg
dybenko-nerds-watermelon-cherry,Nerds Watermelon Cherry,Шоколадки и сладости,417,50 г,dybenko,Хрустящие фруктовые конфеты со вкусом арбуза и вишни.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-nerds-watermelon-cherry.jpg
dybenko-skittles-wild-berry,Skittles Wild Berry,Шоколадки и сладости,890,62 г,dybenko,Ягодные Skittles Wild Berry.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-skittles-wild-berry.jpg
dybenko-squid-game-dalgona-pechene-vanil,Squid Game Dalgona печенье ваниль,Шоколадки и сладости,985,140 г,dybenko,Ванильное печенье в стиле dalgona и Squid Game.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-squid-game-dalgona-pechene-vanil.jpg
dybenko-belyy-shokolad-feastables-cookies-creme,Белый шоколад Feastables Cookies & Creme,Шоколадки и сладости,933,60 г,dybenko,Белый шоколад Feastables с кусочками печенья.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-belyy-shokolad-feastables-cookies-creme.jpg
dybenko-dubayskiy-shokolad-2-serdca,Дубайский шоколад 2 сердца,Дубайский шоколад,1390,100 г,dybenko,Дубайский шоколад в форме двух сердец с фисташковой пастой и катаифи.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-dubayskiy-shokolad-2-serdca.jpg
dybenko-dubayskiy-shokolad-plitka,Дубайский шоколад плитка,Дубайский шоколад,1250,120 г,dybenko,Трендовый дубайский молочный шоколад с фисташковой пастой и катаифи.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-dubayskiy-shokolad-plitka.jpg
dybenko-kinder-joy-stranger-things,Kinder Joy Stranger Things,Шоколадки и сладости,999,30 г,dybenko,Лимитированная серия Kinder Joy Stranger Things.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-kinder-joy-stranger-things.jpg
dybenko-shokolad-feastables-caramel,Шоколад Feastables Caramel,Шоколадки и сладости,943,60 г,dybenko,Батончик Feastables с молочным шоколадом и мягкой карамельной начинкой.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-shokolad-feastables-caramel.jpg
dybenko-shokolad-mrbeast-feastables-peanut-butter,Шоколад MrBeast Feastables Peanut Butter,Шоколадки и сладости,957,60 г,dybenko,Молочный шоколад MrBeast с арахисовой начинкой.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-shokolad-mrbeast-feastables-peanut-butter.jpg
dybenko-buket-iz-klubniki-v-shokolade-pink-milk-18,Букет из клубники в шоколаде Pink Milk №18,Подарочные наборы,4777,396 г,dybenko,"Подарочный букет в нежной молочно-розовой гамме: клубника, шоколад, посыпка и белый шоколад.","Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-buket-iz-klubniki-v-shokolade-pink-milk-18.jpg
dybenko-klubnika-v-belom-i-rozovom-shokolade,Клубника в белом и розовом шоколаде,Клубника и наборы,2599,300 г,dybenko,"Клубника в белом и розовом шоколаде с кокосовой стружкой и шариками. Коробка 19,5×12 см.","Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-klubnika-v-belom-i-rozovom-shokolade.jpg
dybenko-klubnika-v-molochnom-i-belom-shokolade,Клубника в молочном и белом шоколаде,Клубника и наборы,2999,400 г,dybenko,"Набор из клубники в молочном и белом шоколаде с шариками, золотым сахаром и кокосовой стружкой.","Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-klubnika-v-molochnom-i-belom-shokolade.jpg
dybenko-klubnika-v-shokolade-s-dnem-rozhdeniya,Клубника в шоколаде «С днём рождения»,Клубника и наборы,3367,410 г,dybenko,Праздничный бокс из свежей клубники в молочном и белом шоколаде с посыпкой и шоколадной табличкой.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-klubnika-v-shokolade-s-dnem-rozhdeniya.jpg
dybenko-klubnika-v-shokolade-v-klassicheskom-variante-bez-posypok,Клубника в шоколаде в классическом варианте без посыпок,Клубника и наборы,3670,500 г,dybenko,"Клубника в белом, молочном и тёмном шоколаде с мини-шоколадками. Коробка 20×20 см.","Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-klubnika-v-shokolade-v-klassicheskom-variante-bez-posypok.jpg
dybenko-klubnika-v-shokolade-molochnom-bez-posypok,Клубника в шоколаде молочном без посыпок,Клубника и наборы,4500,625 г / 20 шт.,dybenko,Набор клубники в молочном шоколаде без посыпок. Коробка 22×22 см.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-klubnika-v-shokolade-molochnom-bez-posypok.jpg
dybenko-klubnika-s-finikami-v-molochnom-shokolade,Клубника с финиками в молочном шоколаде,Клубника и наборы,2699,300 г,dybenko,Клубника в молочном шоколаде и финики с грецким орехом и сыром дорблю.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-klubnika-s-finikami-v-molochnom-shokolade.jpg
dybenko-lyubimomu-uchitelyu,Любимому учителю,Подарочные наборы,2800,400 г / 16 шт.,dybenko,"Клубника в белом, розовом шоколаде с сублимированной малиной и молочном шоколаде.","Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-lyubimomu-uchitelyu.jpg
dybenko-lyublyu,Люблю,Подарочные наборы,3369,400 г,dybenko,Набор из 16 клубник в коробке с молочным и белым шоколадом.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-lyublyu.jpg
dybenko-nabor-klubniki-v-shokolade-s-golubikoy-i-dolkami,Набор клубники в шоколаде с голубикой и дольками,Клубника и наборы,2990,320 г,dybenko,"Свежая клубника, голубика, сублимированная малина и молочный шоколад.","Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-nabor-klubniki-v-shokolade-s-golubikoy-i-dolkami.jpg
dybenko-nabor-s-dubayskim-shokoladom-i-finikami,Набор с дубайским шоколадом и финиками,Дубайский шоколад,3640,370 г,dybenko,"Подарочный набор с молочным шоколадом, сыром дорблю, грецким орехом, клубникой, катаифи и фисташковой пастой.","Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-nabor-s-dubayskim-shokoladom-i-finikami.jpg
dybenko-nabor-s-finikami,Набор с финиками,Клубника и наборы,2899,300 г,dybenko,"Набор с молочным шоколадом, грецким орехом, сыром дорблю и клубникой.","Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-nabor-s-finikami.jpg
dybenko-podarok-na-14-fevralya-dubayskiy-shokolad,Подарок на 14 февраля Дубайский шоколад,Дубайский шоколад,2490,200 г,dybenko,"Молочный шоколад, хрупкое тесто катаифи и фисташковая паста в подарочном формате.","Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-podarok-na-14-fevralya-dubayskiy-shokolad.jpg
dybenko-serdce-kinder-joy-stranger-things,Сердце Kinder Joy Stranger Things,Подарочные наборы,17900,500 г,dybenko,Большое подарочное сердце с лимитированной серией Kinder Joy Stranger Things.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-serdce-kinder-joy-stranger-things.jpg
dybenko-serdce-s-klubnikoy-kinderom-bananami-i-golubikoy,"Сердце с клубникой, киндером, бананами и голубикой",Подарочные наборы,7997,790 г,dybenko,"Подарочное сердце с клубникой, бананами в молочном шоколаде, голубикой и Kinder Joy Stranger Things.","Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-serdce-s-klubnikoy-kinderom-bananami-i-golubikoy.jpg
dybenko-serdce-s-klubnikoy-laymberri-bananom-i-golubikoy,"Сердце с клубникой, лаймберри, бананом и голубикой",Подарочные наборы,4999,900 г,dybenko,"Подарочный набор в форме сердца: клубника в молочном шоколаде, лаймберри, бананы и голубика.","Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-serdce-s-klubnikoy-laymberri-bananom-i-golubikoy.jpg
dybenko-coca-cola-original,Coca-Cola Original,Холодные напитки,337,330 мл,dybenko,Классическая Coca-Cola Original в банке.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-coca-cola-original.jpg
dybenko-diet-coke-the-devil-wears-prada-2,Diet Coke The Devil Wears Prada 2,Холодные напитки,429,330 мл,dybenko,Лимитированная банка Diet Coke без сахара в дизайне The Devil Wears Prada 2.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-diet-coke-the-devil-wears-prada-2.jpg
dybenko-dr-pepper-classic,Dr Pepper Classic,Холодные напитки,409,355 мл,dybenko,Американский Dr Pepper Classic в банке.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-dr-pepper-classic.jpg
dybenko-dr-pepper-cream-soda,Dr Pepper Cream Soda,Холодные напитки,409,355 мл,dybenko,Американский Dr Pepper с мягкой cream soda нотой.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-dr-pepper-cream-soda.jpg
dybenko-fanta-orange,Fanta Orange,Холодные напитки,409,330 мл,dybenko,"Fanta Orange в банке из Польши, лимитированный дизайн.","Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-fanta-orange.jpg
dybenko-mountain-dew,Mountain Dew,Холодные напитки,417,330 мл,dybenko,Газированный напиток Mountain Dew с цитрусовым вкусом.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-mountain-dew.jpg
dybenko-pepsi-zero-sugar-strawberry-cream,Pepsi Zero Sugar Strawberry & Cream,Холодные напитки,409,330 мл,dybenko,Pepsi Zero Sugar со вкусом клубники и кремовой ванильной нотой.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-pepsi-zero-sugar-strawberry-cream.jpg
dybenko-prime-hydration-barcelona,Prime Hydration Barcelona,Холодные напитки,617,500 мл,dybenko,"Негазированный напиток Prime Hydration Barcelona, драконий фрукт и асаи.","Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-prime-hydration-barcelona.jpg
dybenko-prime-hydration-juventus,Prime Hydration Juventus,Холодные напитки,599,500 мл,dybenko,Prime Hydration Juventus со вкусом драконьего фрукта и асаи.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-prime-hydration-juventus.jpg
dybenko-kokosovyy-smuzi-klubnika-banan-s-plombirom,"Кокосовый смузи Клубника, Банан с пломбиром",Холодные напитки,617,400 мл,dybenko,Сливочный десертный смузи на кокосовом молоке.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-kokosovyy-smuzi-klubnika-banan-s-plombirom.jpg
dybenko-limonad-brazilian-blyu,Лимонад Бразилиан блю,Холодные напитки,377,300 мл,dybenko,Голубой цитрусовый лимонад собственного приготовления.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-limonad-brazilian-blyu.jpg
dybenko-banan-v-molochnom-shokolade,Банан в молочном шоколаде,Десерты,299,120 г,dybenko,Банан на палочке в молочном шоколаде.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-banan-v-molochnom-shokolade.jpg
dybenko-golubika-v-shokolade,Голубика в шоколаде,Десерты,1190,140 г,dybenko,Голубика в молочном шоколаде — яркий десерт к подарочному набору.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-golubika-v-shokolade.jpg
dybenko-klubnika-v-molochnom-shokolade-stakanchik,Клубника в молочном шоколаде — стаканчик,Десерты,877,160 г,dybenko,Свежие ягоды в молочном шоколаде в прозрачном стакане с крышкой и шпажками.,"Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-klubnika-v-molochnom-shokolade-stakanchik.jpg
dybenko-klubnika-v-shokolade-v-stakane,Клубника в шоколаде в стакане,Десерты,1490,400 мл,dybenko,"Десерт: сочная клубника, покрытая молочным шоколадом, в стакане.","Yandex/Yango Deli public menu: Deli_Berry, Москва, Дыбенко 7/1, updated June 30, 2026. Delivery prices may differ from on-site.",True,webapp/assets/products/dybenko-klubnika-v-shokolade-v-stakane.jpg
